_id,name,symbol,contractAddress,chain,logo,decimal,financialData,live,createdAt,updatedAt,__v
{'$oid': '623fc4e817f99988906aa3ee'},UniWhales,UWL,0xdbdd6f355a37b94e6c7d32fef548e98a280b8df5,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7727.png,18,"{'price': 0.67246694604955, 'volume24h': 0, 'volumeChange24h': -100, 'percentChange1h': 0.26832085, 'percentChange24h': 1.53695752, 'percentChange7d': 12.24460208, 'percentChange30d': 17.09570286, 'percentChange60d': 17.52553412, 'percentChange90d': -33.48886777, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 6724669.46, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:59:04.282Z'},{'$date': '2022-03-27T01:59:04.282Z'},0
{'$oid': '623fc4ea17f99988906aa3f1'},Pendle,PENDLE,0x808507121b80c02388fad14726482e061b8da827,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/9481.png,18,"{'price': 0.16200565310712, 'volume24h': 512043.57362268, 'volumeChange24h': -44.9023, 'percentChange1h': -0.17912649, 'percentChange24h': 0.37065508, 'percentChange7d': -7.58357238, 'percentChange30d': -16.05589876, 'percentChange60d': -45.27890232, 'percentChange90d': -42.34680139, 'marketCap': 17609011.990549527, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 40673321.36, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:59:06.021Z'},{'$date': '2022-03-27T01:59:06.021Z'},0
{'$oid': '623fc4ec17f99988906aa3f4'},Daneel,DAN,0x9b70740e708a083c6ff38df52297020f5dfaa5ee,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/2656.png,18,"{'price': 0.0008506187904, 'volume24h': 0, 'volumeChange24h': 0, 'percentChange1h': 0.75613908, 'percentChange24h': 5.17398928, 'percentChange7d': 9.44229977, 'percentChange30d': 0, 'percentChange60d': 0, 'percentChange90d': 0, 'marketCap': 17218.530076803763, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 0, 'lastUpdated': {'$date': '2020-10-23T03:17:36Z'}}",False,{'$date': '2022-03-27T01:59:08.259Z'},{'$date': '2022-03-27T01:59:08.259Z'},0
{'$oid': '623fc4ee17f99988906aa3f7'},Creator Cabins,CABIN,0x1934e252f840aa98dfce2b6205b3e45c41aef830,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/18317.png,18,"{'price': 15.195390847954368, 'volume24h': 0, 'volumeChange24h': 0, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': 0, 'percentChange30d': 12.65995518, 'percentChange60d': 3.81098466, 'percentChange90d': 3.81098466, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 15195390.85, 'lastUpdated': {'$date': '2022-03-26T18:31:00Z'}}",False,{'$date': '2022-03-27T01:59:10.517Z'},{'$date': '2022-03-27T01:59:10.517Z'},0
{'$oid': '623fc4f017f99988906aa3fa'},Muse,MUSE,0xb6ca7399b4f9ca56fc27cbff44f4d2e4eef1fc81,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7805.png,18,"{'price': 25.094815043850108, 'volume24h': 279739.18054754, 'volumeChange24h': 270.465, 'percentChange1h': 0.10328886, 'percentChange24h': 5.26398219, 'percentChange7d': 22.72820198, 'percentChange30d': 27.79909954, 'percentChange60d': 4.72563139, 'percentChange90d': -4.54526978, 'marketCap': 12762068.569810148, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 12762068.57, 'lastUpdated': {'$date': '2022-03-27T01:57:00Z'}}",False,{'$date': '2022-03-27T01:59:12.679Z'},{'$date': '2022-03-27T01:59:12.679Z'},0
{'$oid': '623fc4f417f99988906aa3fd'},Riot Racers,RIOT,0xf56408077487cb879c992909c5b5c66d68c02eb4,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/12951.png,18,"{'price': 0.223120112874222, 'volume24h': 1613.82302159, 'volumeChange24h': 47.9742, 'percentChange1h': 0.09772016, 'percentChange24h': 0.43510933, 'percentChange7d': 1.25091481, 'percentChange30d': -17.4338897, 'percentChange60d': -20.14869586, 'percentChange90d': -50.95762837, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 55780028.22, 'lastUpdated': {'$date': '2022-03-27T01:58:00Z'}}",False,{'$date': '2022-03-27T01:59:16.874Z'},{'$date': '2022-03-27T01:59:16.874Z'},0
{'$oid': '623fc4f717f99988906aa400'},Degenerator Meme,MEME,0xd5525d397898e5502075ea5e830d8914f6f0affe,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/6597.png,18,"{'price': 258.6933150670272, 'volume24h': 115039.86565324, 'volumeChange24h': -26.512, 'percentChange1h': -0.42308171, 'percentChange24h': -7.89903387, 'percentChange7d': -10.97532837, 'percentChange30d': 14.77500816, 'percentChange60d': -0.26265835, 'percentChange90d': -59.7781515, 'marketCap': 7243412.8218767615, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 7243412.82, 'lastUpdated': {'$date': '2022-03-27T01:58:00Z'}}",False,{'$date': '2022-03-27T01:59:19.794Z'},{'$date': '2022-03-27T01:59:19.794Z'},0
{'$oid': '623fc4fe17f99988906aa407'},Volatility Protocol Token,VOL,0x5166E09628b696285E3A151e84FB977736a83575,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/10424.png,18,"{'price': 0.059009564336028004, 'volume24h': 5595.73078039, 'volumeChange24h': 871.6544, 'percentChange1h': 0.09772016, 'percentChange24h': -2.27221246, 'percentChange7d': -3.80337127, 'percentChange30d': -10.07135298, 'percentChange60d': -33.03920426, 'percentChange90d': -77.09353662, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 0, 'lastUpdated': {'$date': '2022-03-27T01:58:00Z'}}",False,{'$date': '2022-03-27T01:59:26.092Z'},{'$date': '2022-03-27T01:59:26.092Z'},0
{'$oid': '623fc50117f99988906aa40a'},Kyber Network Crystal v2,KNC,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/9444.png,18,"{'price': 3.094167502427068, 'volume24h': 45914441.91357231, 'volumeChange24h': -40.7244, 'percentChange1h': -0.09891295, 'percentChange24h': -2.76655968, 'percentChange7d': -5.18676657, 'percentChange30d': 70.76497223, 'percentChange60d': 80.14353645, 'percentChange90d': 121.32678169, 'marketCap': 550171910.9438201, 'marketCapDominance': 0.027200000000000002, 'fullyDilutedMarketCap': 550171910.94, 'lastUpdated': {'$date': '2022-03-27T01:58:00Z'}}",False,{'$date': '2022-03-27T01:59:29.026Z'},{'$date': '2022-03-27T01:59:29.026Z'},0
{'$oid': '623fc50417f99988906aa40e'},Tokenlon Network Token,LON,0x0000000000095413afc295d19edeb1ad7b71c952,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/8083.png,18,"{'price': 0.9936195483132061, 'volume24h': 2759856.14859478, 'volumeChange24h': -3.5576, 'percentChange1h': -0.12443918, 'percentChange24h': 2.62345477, 'percentChange7d': 2.87196204, 'percentChange30d': -5.3015025399999995, 'percentChange60d': -8.59849025, 'percentChange90d': -40.78597232, 'marketCap': 44275055.84256472, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 198723909.66, 'lastUpdated': {'$date': '2022-03-27T01:58:00Z'}}",False,{'$date': '2022-03-27T01:59:32.523Z'},{'$date': '2022-03-27T01:59:32.523Z'},0
