"","thumbnail","daoName","daoPlatform","totalValueUSD","totalInUSD","totalOutUSD","totalNumMembers","totalNumProposals","totalNumVoters","voterParticipation"
"","metagame.jpg","Metafam","4","23485.779413765937","0","0","179","11","9","5.0"
"","yearn.png","yEarn DAO ($YFI Community Funding)","2","20936.57152353078","57171.026887457156","36234.45536392639","12","19","6","50.0"
"","","cadcad","4","14337.709622591366","14398.926464610655","0","4","3","1","25.0"
"","","centrifugelabic01","4","12980","20000","7020","18","11","11","61.1"
"","","murziki","4","12795.299853878925","37172.20357772534","24376.903723846415","2","13","2","100.0"
"","snglsDAO.jpg","snglsDAO","1","12670.144518648838","12670.144518648838","0","29","2","1","3.4"
"","","blequity","4","12213.69470438151","12213.69470438151","0","6","4","2","33.3"
"","arcadao.jpg","Arca","4","11037.822348699676","25188.001372037248","14150.179023337574","24","53","20","83.3"
"","daohaus.jpg","HausDAO","2","10407.319125579486","331908.74368555355","321501.42455997405","45","57","8","17.8"
"","","clr.fund","5","10076.718804104272","24284.32090228754","14706.822329112121","-1","-1","-1","-1"
"","trojandao.jpg","TrojanDAO","2","8651.001512267434","8971.408975684746","320.4074634173124","19","30","7","36.8"
"","","DeFi Omega","2","7467.6138190989695","9609.683806157656","2142.0699870586877","37","41","1","2.7"
"","metagammadelta.jpg","Meta Gamma Delta (v2)","2","7142.014139012985","8856.350350751538","1105.396290048675","47","59","17","36.2"
"","rocketdao.jpg","Rocket Bank LP DAO","2","6793.35438080567","171980.02091637626","162858.2542313334","21","29","6","28.6"
"","Daoversify.png","Daoversify","4","6510.5021081329","345.49430496889954","0","2","3","1","50.0"
"","cyberdevs.png","Cyber Congress","4","6071.369477097076","6071.369477097076","0","48","15","6","12.5"
"","","MarsDao","4","5542.628579398317","93981.69892198782","88187.89459911441","68","122","9","13.2"
"","","Burn Signal","5","5426.9629754179405","12628.363934121084","7257.205911411973","-1","-1","-1","-1"
"","","BerezkafLexDAO","4","4884.999785003669","5487500.835584021","5489410.02591965","49","437","3","6.1"
"","","0x06Bdd90Cc7122D4531ab7CbB3C22D265Cb112ABD","4","4589.367993571208","26966.7785124141","22377.41051884289","-1","-1","-1",""
"","","Status","4","4386.623756370218","19687.665691306374","15301.041934936164","2","7","1","50.0"
"","metagammadelta.jpg","Meta Gamma Delta","2","4010.0080794083287","4206.317164405755","196.30908499742608","36","37","21","58.3"
"","","DimensionLab","4","3908.0242242988893","1000.0016756366241","0","0","1","0","NaN"
"","Arweavers.jpg","Arweavers","4","3513.95108426859","3513.95108426859","0","3","5","4","133.3"
"","","Betacolony","5","3257.837746133068","10039.8602407674","6786.093726202461","-1","-1","-1","-1"
"","","MetaClan","2","3141.071050034099","4638.548057788319","1497.477007754221","65","84","7","10.8"
"","lexdao.jpg","lexDAO","4","3135.165557195839","4092.7340567515075","1960.9475546444269","40","88","24","60.0"
"","","Keytree","4","2908.080854517273","0.000145404035472549","0","1","5","2","200.0"
"","marketingdao.jpg","Marketing DAO","2","2796.283317096543","13981.416585482722","11185.133268386178","11","10","2","18.2"
"","FestDAO.jpg","FestDAO","1","2687.957558431554","41435.64572376063","38747.63000487811","38","81","15","39.5"
"","metacartelventureschina.png","MetaCartel Ventures China","2","2259.8721415943355","17320.66648876951","15060.794347175177","17","19","12","70.6"
"","","0x117d1F8CB4Bf6e74Bc5D667f15af7b810baCCCD6","4","2098.3948676636983","266918.04750667716","264575.3787449259","4","165","5","125.0"
"","","Srt","4","1960.5888023080988","0","0","2","3","2","100.0"
"","BrightID.jpg","brightiddev","4","1893.1134907681967","169450.34902098347","167557.2355302153","2","65","3","150.0"
"","CuraDAO.jpg","CuraDAO","1","1842.642390687722","24437.065999291648","22585.265082389164","54","46","11","20.4"
"","HelpDAO.jpg","HelpDao","4","1748.7357828945453","2007.97204815348","265.05231035625934","2","5","1","50.0"
"","","CENNZnet Grants DAO","1","1745.7703018769137","46084.21588275947","44338.44558088255","12","21","8","66.7"
"","","Urza","2","1741.8514829413891","3495.3541463706806","1753.5026634292913","5","4","1","20.0"
"","","Futhorcecosystem","4","1729.1809637974106","716.7199306258865","0","5","20","6","120.0"
"","","Orochi DAO V2","2","1505.8391943647334","4015.94409630696","2510.1049019422267","9","11","2","22.2"
"","RaidGuild.jpg","Raid Guild","2","455.94615235664554","35186.56507346485","34730.6189211082","34","54","12","35.3"
"","","ApocalypseDAO","1","410.13640698899707","462.56805354137776","0","7","22","4","57.1"
"","","Estonia","4","408.0893085316125","1160.9410546405002","753.4915110695933","1","7","1","100.0"
"","","Genesis Alpha","1","359.83480515564247","783917.2602192316","783557.4254140758","266","384","128","48.1"
"","","Creative Collabo DAO","2","233.02360975804538","233.02360975804538","0","6","6","1","16.7"
"","","MansaNetwork","4","11.580805456374096","2381.397569352305","2369.8167638959308","4","20","1","25.0"
"","","DeoraTest","2","10.934372082557806","11.144244867251814","0.2098727846940078","7","16","4","57.1"
"","1UP.jpg","1UP","1","2.032741983496447","11494.312906295467","11492.280164311971","14","40","4","28.6"
"","MetaCartelDAO.jpg","MetaCartel DAO","2","0.4387092221747688","879648.6494519254","879648.210742703","105","146","41","39.0"
"","aragon.png","Aragon Association DAO","4","0.27790508303874184","972337.0283978068","972336.7504927238","3","71","2","66.7"
"","mydaodashboard.jpg","MyDaoDashboard","4","2.2295109e-7","1834.287485999738","1834.287485776787","5","30","4","80.0"
"","","f25f0531","4","-5.4787198173111755e-12","519263.9572923091","519263.957292309","4","166","4","100.0"
"","","Elimuai","4","-2.623972274443945e-13","26929.659464998153","26929.659464998153","3","24","3","100.0"
"","daosquare.jpg","DAOSquare","2","0","0","0","16","30","5","31.3"
"","","Dandy","4","0","100598.0788730412","100598.0788730412","5","1","1","20.0"
"","","Valtech","4","0","1849.328016616074","1849.328016616074","0","4","1","Infinity"
"","","Collab19","4","0","2041.1035869480124","2041.1035869480124","76","43","19","25.0"
"","primedao.jpg","Prime Incubation 🤖","1","0","0","0","78","77","40","51.3"
"","meloncouncil.png","Melon Council","4","0","0","0","14","26","12","85.7"
"","dxDAO.png","xDXdao","1","0","0","0","306","17","8","2.6"
