_id/$oid,name,symbol,contractAddress,chain/$oid,logo,decimal,financialData/price,financialData/volume24h,financialData/volumeChange24h,financialData/percentChange1h,financialData/percentChange24h,financialData/percentChange7d,financialData/percentChange30d,financialData/percentChange60d,financialData/percentChange90d,financialData/marketCap,financialData/marketCapDominance,financialData/fullyDilutedMarketCap,financialData/lastUpdated/$date,live,createdAt/$date,updatedAt/$date,__v
623fc3b817f99988906aa2be,SKALE Network,SKL,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/5691.png,18,0.16694923217585425,107278554.1776778,273.0587,-2.85937092,19.52611905,28.56956544,37.19450685,46.63781696,-29.84956926,541767092.7364734,0.0268,1168644625.23,2022-03-27T01:52:00Z,false,2022-03-27T01:54:00.542Z,2022-03-27T01:54:00.542Z,0
623fc3ba17f99988906aa2c1,Quantstamp,QSP,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/2212.png,18,0.06930643803542881,3802309.52760472,-62.6434,1.78810268,1.40239215,54.85351498,50.1027498,185.32366051,57.09873525,49471070.38885554,0.0025,67673743.88,2022-03-27T01:52:00Z,false,2022-03-27T01:54:02.806Z,2022-03-27T01:54:02.806Z,0
623fc3bd17f99988906aa2c4,Wilder World,WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/9674.png,18,1.2014838703386894,3964950.02708425,49.604,-0.16680416,-0.77986723,-3.65817321,-23.2447541,-30.38472089,-69.84422286,100544135.37096591,0,600741935.17,2022-03-27T01:52:00Z,false,2022-03-27T01:54:05.459Z,2022-03-27T01:54:05.459Z,0
623fc3c117f99988906aa2c7,Magic Internet Money,MIM,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/162.png,18,0.9895586762703973,16883095.10435916,-80.9202,0.03726947,0.20560989,-0.81982426,-0.75365113,-0.91860735,-1.05740381,0,0.0948,1913165450.72,2022-03-27T01:52:00Z,false,2022-03-27T01:54:09.550Z,2022-03-27T01:54:09.550Z,0
623fc3c517f99988906aa2ca,Akropolis,AKRO,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/4134.png,18,0.013057907665906048,6075246.67639826,-38.0922,0.57096869,6.68849487,8.00760959,6.49113966,5.64057686,-49.04602899,50202280.830285005,0.0025,52231630.66,2022-03-27T01:52:00Z,false,2022-03-27T01:54:13.700Z,2022-03-27T01:54:13.700Z,0
623fc3c717f99988906aa2cd,UMA,UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/5617.png,18,7.787400193252948,102053172.91271459,99.261,-0.07320569,2.41271316,1.97416569,63.56925566,33.73873048,-25.76074184,509951786.0224354,0.0253,787871291.17,2022-03-27T01:53:00Z,false,2022-03-27T01:54:15.969Z,2022-03-27T01:54:15.969Z,0
623fc3ca17f99988906aa2d0,Covalent,CQT,0xD417144312DbF50465b1C641d016962017Ef6240,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/7411.png,18,0.36433166335207035,4426069.440857,-26.2003,-0.09282163,-3.3480453,8.11782131,10.80084458,-6.59265943,-40.30204718,92847370.20225884,0.0046,364331663.35,2022-03-27T01:53:00Z,false,2022-03-27T01:54:18.757Z,2022-03-27T01:54:18.757Z,0
623fc3cc17f99988906aa2d3,DIA,DIA,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/6138.png,18,1.0340519909008152,8199765.21006938,-16.5837,2.12333057,4.90888527,9.16542919,0.77653297,-0.33259356,-28.07514584,68198116.42595576,0.0034,206810398.18,2022-03-27T01:53:00Z,false,2022-03-27T01:54:20.868Z,2022-03-27T01:54:20.868Z,0
623fc3cf17f99988906aa2d6,TRVL,TRVL,0xd47bdf574b4f76210ed503e0efe81b58aa061f3d,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/14336.png,18,0.11606006343892081,160577.6111484,-63.9113,-0.02145087,1.49365065,19.92405493,-5.15286653,-41.39001596,-69.82402311,0,0,116060063.44,2022-03-27T01:53:00Z,false,2022-03-27T01:54:23.545Z,2022-03-27T01:54:23.545Z,0
623fc3d117f99988906aa2d9,The Doge NFT,DOG,0xbaac2b4491727d78d2b78815144570b9f2fe8899,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/11557.png,18,0.004609806083271051,6293656.67378085,5906.2637,0.29597198,58.93711253,82.21404111,40.68280079,55.36533842,-36.91883895,0,0,78227012.32,2022-03-27T01:53:00Z,false,2022-03-27T01:54:25.633Z,2022-03-27T01:54:25.633Z,0
